,USD,INR
01-01-1979,226.0,"1,785.7"
02-01-1979,226.8,"1,792.9"
03-01-1979,218.6,"1,802.2"
04-01-1979,223.2,"1,811.7"
05-01-1979,225.5,"1,843.6"
08-01-1979,223.1,"1,841.3"
09-01-1979,224.0,"1,822.5"
10-01-1979,220.7,"1,803.5"
11-01-1979,220.7,"1,814.6"
12-01-1979,217.6,"1,782.6"
15-01-1979,216.9,"1,782.0"
16-01-1979,220.7,"1,796.5"
17-01-1979,227.3,"1,842.1"
18-01-1979,231.8,"1,861.7"
19-01-1979,230.6,"1,940.8"
22-01-1979,235.0,"1,886.9"
23-01-1979,230.0,"1,895.4"
24-01-1979,236.1,"1,926.1"
25-01-1979,233.9,"1,937.8"
26-01-1979,235.5,"1,929.3"
29-01-1979,235.2,"1,887.0"
30-01-1979,233.5,"1,921.6"
31-01-1979,233.7,"1,840.8"
01-02-1979,229.4,"1,927.1"
02-02-1979,230.3,"1,907.4"
05-02-1979,243.1,"1,971.9"
06-02-1979,244.5,"1,996.8"
07-02-1979,251.6,"2,031.0"
08-02-1979,250.5,"2,081.0"
09-02-1979,246.8,"2,000.9"
12-02-1979,244.3,"2,046.4"
13-02-1979,240.6,"2,000.6"
14-02-1979,240.7,"1,946.7"
15-02-1979,247.8,"2,008.3"
16-02-1979,247.1,"2,016.7"
19-02-1979,248.1,"2,047.4"
20-02-1979,247.0,"2,032.4"
21-02-1979,250.8,"2,039.2"
22-02-1979,252.4,"2,052.7"
23-02-1979,251.0,"2,042.0"
26-02-1979,248.6,"2,034.5"
27-02-1979,247.9,"2,012.7"
28-02-1979,251.3,"2,011.7"
01-03-1979,248.8,"2,023.9"
02-03-1979,248.0,"2,020.5"
05-03-1979,238.2,"1,972.1"
06-03-1979,239.8,"1,941.2"
07-03-1979,242.3,"1,954.0"
08-03-1979,239.2,"1,919.8"
09-03-1979,241.0,"1,938.1"
12-03-1979,240.0,"1,939.7"
13-03-1979,239.1,"1,963.4"
14-03-1979,239.5,"1,969.9"
15-03-1979,240.1,"1,970.1"
16-03-1979,244.0,"1,972.9"
19-03-1979,242.3,"2,016.9"
20-03-1979,242.1,"1,991.6"
21-03-1979,239.9,"1,977.7"
22-03-1979,242.9,"1,998.0"
23-03-1979,242.5,"1,987.5"
